system,case_id,case_dir,rc_service,fault_type,n_services,naive_rank,Random_rank,BARO_rank,BARO_nsvc,BARO_secs,nsigma_rank,nsigma_nsvc,nsigma_secs,e_diagnosis_rank,e_diagnosis_nsvc,e_diagnosis_secs,CIRCA_rank,CIRCA_nsvc,CIRCA_secs,RCD_rank,RCD_err,RCD_secs
OB,OB/recommendationservice_cpu/2,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/2,recommendationservice,cpu,10,1,2,1,10,0.05,1,10,0.04,,2,1.69,9,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.6
OB,OB/recommendationservice_cpu/3,/home/user/data/RE2/RE2-OB/recommendationservice_cpu/3,recommendationservice,cpu,10,1,8,1,10,0.05,1,10,0.04,,2,1.65,9,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.7
OB,OB/recommendationservice_delay/1,/home/user/data/RE2/RE2-OB/recommendationservice_delay/1,recommendationservice,delay,10,1,4,1,10,0.05,1,10,0.05,1.0,2,1.68,9,10,0.2,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.41
OB,OB/recommendationservice_delay/2,/home/user/data/RE2/RE2-OB/recommendationservice_delay/2,recommendationservice,delay,10,1,5,1,10,0.05,1,10,0.05,,3,1.7,1,10,11.84,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.58
OB,OB/recommendationservice_delay/3,/home/user/data/RE2/RE2-OB/recommendationservice_delay/3,recommendationservice,delay,10,1,5,1,10,0.07,1,10,0.05,,2,1.66,9,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.59
OB,OB/recommendationservice_disk/1,/home/user/data/RE2/RE2-OB/recommendationservice_disk/1,recommendationservice,disk,10,1,1,1,10,0.05,1,10,0.05,2.0,3,1.66,9,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.02
OB,OB/recommendationservice_disk/2,/home/user/data/RE2/RE2-OB/recommendationservice_disk/2,recommendationservice,disk,10,1,6,1,10,0.05,1,10,0.04,,3,1.64,9,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.72
OB,OB/recommendationservice_disk/3,/home/user/data/RE2/RE2-OB/recommendationservice_disk/3,recommendationservice,disk,10,1,3,1,10,0.05,1,10,0.05,,3,1.65,9,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.02
OB,OB/recommendationservice_loss/1,/home/user/data/RE2/RE2-OB/recommendationservice_loss/1,recommendationservice,loss,10,1,10,2,10,0.05,2,10,0.05,,3,1.71,9,10,0.02,,"ValueError('Input X contains NaN.\nKBinsDiscretizer does not accept missing values encoded as NaN natively. For supervised learning, you might want to",0.03
OB,OB/recommendationservice_loss/2,/home/user/data/RE2/RE2-OB/recommendationservice_loss/2,recommendationservice,loss,10,1,6,2,10,0.05,2,10,0.05,3.0,3,1.75,9,10,0.02,,"AttributeError(""module 'causallearn.utils.PCUtils.SkeletonDiscovery' has no attribute 'local_skeleton_discovery'"")",0.46
