system,case_id,case_dir,rc_service,fault_type,cell_id,seed,n_nodes_secondary,n_isolated_added,rc_in_candidates,naive_rank,n_components,max_mcse,S_graph_comp_rank,S_graph_node_rank,S_graph_rc_comp_size,S_full_comp_rank,S_full_node_rank,S_full_rc_comp_size,secs
OB,OB/productcatalogservice_delay/3,/home/user/data/RE2/RE2-OB/productcatalogservice_delay/3,productcatalogservice,delay,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1987855481,7,0,True,1,7,0.0011117017144899974,1.0,1.0,1.0,1,1,1,2.12
OB,OB/productcatalogservice_disk/1,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/1,productcatalogservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3868393351,7,0,True,1,7,0.0011115574937896825,1.0,1.0,1.0,1,1,1,2.33
OB,OB/productcatalogservice_disk/2,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/2,productcatalogservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,3555207474,7,0,True,1,7,0.001111576817858307,1.0,1.0,1.0,1,1,1,2.7
OB,OB/productcatalogservice_disk/3,/home/user/data/RE2/RE2-OB/productcatalogservice_disk/3,productcatalogservice,disk,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1609698971,7,0,True,1,7,0.0011112925343378312,1.0,1.0,1.0,1,1,1,2.36
OB,OB/productcatalogservice_loss/1,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/1,productcatalogservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,2519528905,7,0,True,1,7,0.0011114762578998258,1.0,1.0,1.0,1,1,1,1.59
OB,OB/productcatalogservice_loss/2,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/2,productcatalogservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1814697480,7,0,True,1,7,0.0011115054160349377,1.0,1.0,1.0,1,1,1,1.82
OB,OB/productcatalogservice_loss/3,/home/user/data/RE2/RE2-OB/productcatalogservice_loss/3,productcatalogservice,loss,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,98987146,7,0,True,2,7,0.001111506629534885,1.0,1.0,1.0,1,1,1,2.43
OB,OB/productcatalogservice_mem/1,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/1,productcatalogservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,1821188236,7,0,True,1,7,0.001111812359112364,1.0,1.0,1.0,1,1,1,2.01
OB,OB/productcatalogservice_mem/2,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/2,productcatalogservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,768913487,7,0,True,2,7,0.0011112826638056583,1.0,1.0,1.0,1,1,1,2.08
OB,OB/productcatalogservice_mem/3,/home/user/data/RE2/RE2-OB/productcatalogservice_mem/3,productcatalogservice,mem,a2.0_b5.0_pb0.55_ps0.4_SECONDARY,669891740,7,0,True,2,7,0.0011115005608972944,1.0,1.0,1.0,1,1,1,1.8
