system,case_id,case_dir,rc_service,fault_type,param_a,param_b,param_p_base,param_p_shared,cell_id,n_sim,seed,n_spans,traced_services,n_nodes,n_edges,acyclic,shared,inject_time,n_observed_services,rc_in_graph,naive_rank,n_components,condensation_nontrivial,max_mcse,S_graph_comp_rank,S_graph_comp_tie,S_graph_node_rank,S_graph_rc_comp_size,S_graph_nodes_tied,S_graph_exp_rank_random,S_full_comp_rank,S_full_comp_tie,S_full_node_rank,S_full_rc_comp_size,S_full_nodes_tied,S_full_exp_rank_random,S_graph_meanagg_comp_rank,S_graph_meanagg_comp_tie,S_graph_meanagg_node_rank,S_graph_meanagg_rc_comp_size,S_graph_meanagg_nodes_tied,S_graph_meanagg_exp_rank_random,secs
OB,OB/emailservice_disk/1,/home/user/data/RE2/RE2-OB/emailservice_disk/1,emailservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2228714705,387034,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705370095,10,True,1,7,0,0.0011154946382659129,2,2,2,1,2,1.5,1,1,1,1,1,1.0,2,2,2,1,2,1.5,1.75
OB,OB/emailservice_disk/2,/home/user/data/RE2/RE2-OB/emailservice_disk/2,emailservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2940513594,409530,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705602964,10,True,1,7,0,0.001115394790589861,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.09
OB,OB/emailservice_disk/3,/home/user/data/RE2/RE2-OB/emailservice_disk/3,emailservice,disk,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,3831905937,369748,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705719294,10,True,1,7,0,0.0011155539179595938,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.68
OB,OB/emailservice_loss/1,/home/user/data/RE2/RE2-OB/emailservice_loss/1,emailservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,244909464,386467,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705351632,10,True,1,7,0,0.0011155322386645758,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.78
OB,OB/emailservice_loss/2,/home/user/data/RE2/RE2-OB/emailservice_loss/2,emailservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,598829751,410063,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705740414,10,True,1,7,0,0.001115410926744041,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.2
OB,OB/emailservice_loss/3,/home/user/data/RE2/RE2-OB/emailservice_loss/3,emailservice,loss,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,1346905979,402931,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705742773,10,True,1,7,0,0.0011154863284124105,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.13
OB,OB/emailservice_mem/1,/home/user/data/RE2/RE2-OB/emailservice_mem/1,emailservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2557053629,404657,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705475505,10,True,1,7,0,0.001115547200032343,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.24
OB,OB/emailservice_mem/2,/home/user/data/RE2/RE2-OB/emailservice_mem/2,emailservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2879915659,406048,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705597985,10,True,1,7,0,0.0011153281911056494,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,2.17
OB,OB/emailservice_mem/3,/home/user/data/RE2/RE2-OB/emailservice_mem/3,emailservice,mem,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,148427151,395523,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705600502,10,True,1,7,0,0.0011152108318609535,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.95
OB,OB/emailservice_socket/1,/home/user/data/RE2/RE2-OB/emailservice_socket/1,emailservice,socket,2,5,0.35,0.4,a2_b5_pb0.35_ps0.4,200000,2007490062,408640,checkoutservice|currencyservice|emailservice|frontendservice|paymentservice|productcatalogservice|recommendationservice,7,9,True,currencyservice|productcatalogservice,1705726260,10,True,1,7,0,0.0011153188319377558,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1,1,1,1,1,1.0,1.94
