system,case_id,case_dir,rc_service,fault_type,ediag_unc_rank,ediag_unc_nsvc,ediag_unc_ncols_ranked,n_candidate_cols,secs
TT,TT/ts-train-service_socket/1,/home/user/data/RE2/RE2-TT/ts-train-service_socket/1,ts-train-service,socket,12.0,28,179,315,10.68
TT,TT/ts-train-service_socket/2,/home/user/data/RE2/RE2-TT/ts-train-service_socket/2,ts-train-service,socket,11.0,28,191,320,11.09
TT,TT/ts-train-service_socket/3,/home/user/data/RE2/RE2-TT/ts-train-service_socket/3,ts-train-service,socket,15.0,28,190,316,10.68
TT,TT/ts-travel-service_cpu/1,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/1,ts-travel-service,cpu,10.0,28,213,319,10.48
TT,TT/ts-travel-service_cpu/2,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/2,ts-travel-service,cpu,28.0,28,225,316,10.6
TT,TT/ts-travel-service_cpu/3,/home/user/data/RE2/RE2-TT/ts-travel-service_cpu/3,ts-travel-service,cpu,28.0,28,196,315,10.8
TT,TT/ts-travel-service_delay/1,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/1,ts-travel-service,delay,4.0,28,205,320,11.16
TT,TT/ts-travel-service_delay/2,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/2,ts-travel-service,delay,21.0,28,201,318,11.49
TT,TT/ts-travel-service_delay/3,/home/user/data/RE2/RE2-TT/ts-travel-service_delay/3,ts-travel-service,delay,25.0,28,202,319,11.5
TT,TT/ts-travel-service_disk/1,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/1,ts-travel-service,disk,20.0,28,212,316,11.45
TT,TT/ts-travel-service_disk/2,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/2,ts-travel-service,disk,10.0,28,194,310,10.97
TT,TT/ts-travel-service_disk/3,/home/user/data/RE2/RE2-TT/ts-travel-service_disk/3,ts-travel-service,disk,21.0,28,180,308,11.26
TT,TT/ts-travel-service_loss/1,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/1,ts-travel-service,loss,25.0,28,194,315,11.29
TT,TT/ts-travel-service_loss/2,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/2,ts-travel-service,loss,11.0,28,188,317,11.4
TT,TT/ts-travel-service_loss/3,/home/user/data/RE2/RE2-TT/ts-travel-service_loss/3,ts-travel-service,loss,26.0,28,197,319,12.4
TT,TT/ts-travel-service_mem/1,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/1,ts-travel-service,mem,17.0,28,204,320,11.42
TT,TT/ts-travel-service_mem/2,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/2,ts-travel-service,mem,23.0,28,174,325,11.45
TT,TT/ts-travel-service_mem/3,/home/user/data/RE2/RE2-TT/ts-travel-service_mem/3,ts-travel-service,mem,11.0,28,204,317,10.83
TT,TT/ts-travel-service_socket/1,/home/user/data/RE2/RE2-TT/ts-travel-service_socket/1,ts-travel-service,socket,9.0,28,172,307,10.91
TT,TT/ts-travel-service_socket/2,/home/user/data/RE2/RE2-TT/ts-travel-service_socket/2,ts-travel-service,socket,23.0,28,191,319,10.96
TT,TT/ts-travel-service_socket/3,/home/user/data/RE2/RE2-TT/ts-travel-service_socket/3,ts-travel-service,socket,24.0,28,206,317,11.33
